nro;ubigeo;region;provincia;distrito;centro_poblado;2g;3g;4g;5g;lat;lon
1517;804010052;CUSCO;CALCA;CALCA;RAYAMPATA;;SI;;;-13.31277;-71.9592
1518;804010055;CUSCO;CALCA;CALCA;HUQQI;SI;;;;-13.31755333;-71.96479
1519;804010057;CUSCO;CALCA;CALCA;PATAPATA;;SI;;;-13.32401;-71.94874
1520;804010059;CUSCO;CALCA;CALCA;LLIPLLEC;SI;;;;-13.32728167;-71.94491333
1521;804010061;CUSCO;CALCA;CALCA;VENECIA;;SI;;;-13.32205;-71.94968
1522;804010062;CUSCO;CALCA;CALCA;URCO;;SI;;;-13.32506;-71.98189
1523;804010066;CUSCO;CALCA;CALCA;CAROLINA;;SI;;;-13.32933;-71.97721
1524;804010071;CUSCO;CALCA;CALCA;QUERAPUQUIO;;SI;;;-13.34072;-71.97933
1525;804010072;CUSCO;CALCA;CALCA;SACLLO;;SI;;;-13.34433;-71.95363
1526;804010089;CUSCO;CALCA;CALCA;HUARAN;;SI;;;-13.31001;-72.02437
1527;804010090;CUSCO;CALCA;CALCA;PUCARACAY;;SI;;;-13.30835;-72.00774
1528;804010094;CUSCO;CALCA;CALCA;SACLLACCASA;;SI;;;-13.34167;-71.94462
1529;804010095;CUSCO;CALCA;CALCA;VILLA CARMEN;;SI;;;-13.34808;-71.95188
1530;805060002;CUSCO;CANAS;PAMPAMARCA;CHOSECANI;;SI;;;-14.10436;-71.43731
1531;805060003;CUSCO;CANAS;PAMPAMARCA;TINTACMARCA;;SI;;;-14.11591;-71.42265
1532;805060004;CUSCO;CANAS;PAMPAMARCA;CHACAMAYO;;SI;;;-14.11933;-71.45912
1533;805060005;CUSCO;CANAS;PAMPAMARCA;PAMPARQUI;;SI;;;-14.11776;-71.43987
1534;805060006;CUSCO;CANAS;PAMPAMARCA;SUCHUPUGIO;;SI;;;-14.12749;-71.45932
1535;805060010;CUSCO;CANAS;PAMPAMARCA;CENTENARIO;;;SI;;-14.10417;-71.43436
1536;805060011;CUSCO;CANAS;PAMPAMARCA;HUACARUMI;;;SI;;-14.1084;-71.43597
1537;805060012;CUSCO;CANAS;PAMPAMARCA;SANTA ANA;;SI;;;-14.12769;-71.41836
1538;805060014;CUSCO;CANAS;PAMPAMARCA;HUANO HUANO PAMPA;;SI;;;-14.11545;-71.45905
1539;805060015;CUSCO;CANAS;PAMPAMARCA;CORTE PATA;;SI;;;-14.11043;-71.43843
1540;806010260;CUSCO;CANCHIS;SICUANI;LACCAYA;;;SI;;-14.21488;-71.26386
1541;806010261;CUSCO;CANCHIS;SICUANI;PAMPACCALASAYA (LUCRE);;;SI;;-14.21178;-71.28757
1542;806050190;CUSCO;CANCHIS;PITUMARCA;LANTA HUI;;;SI;;-13.98641833;-71.42094667
1543;806060001;CUSCO;CANCHIS;SAN PABLO;SAN PABLO;;;SI;;-14.20188408;-71.31478157
1544;801030006;CUSCO;CUSCO;POROY;SENCCA;;;SI;;-13.50055;-72.00841
1545;801030013;CUSCO;CUSCO;POROY;QUEÑUAPATA;;;SI;;-13.48838;-72.0204
1546;801030019;CUSCO;CUSCO;POROY;CRUZ VERDE;;SI;;;-13.485631;-72.03317
1547;801030020;CUSCO;CUSCO;POROY;GRUPO DE CAMPESINOS SIN TIERRA;;SI;;;-13.50349;-72.02258
1548;801030024;CUSCO;CUSCO;POROY;OLLUCOPAMPA;SI;;;;-13.49146234;-72.02360529
1549;801030025;CUSCO;CUSCO;POROY;NUEVO HORIZONTE;;;SI;;-13.487477;-72.02594
1550;801030031;CUSCO;CUSCO;POROY;LLACUARMAQUI;;SI;;;-13.49187;-72.05042
1551;801040001;CUSCO;CUSCO;SAN JERONIMO;SAN JERONIMO;;;SI;;-13.54451161;-71.88405909
1552;801040007;CUSCO;CUSCO;SAN JERONIMO;CHECCOLLO;;SI;;;-13.54193;-71.86884
1553;801040008;CUSCO;CUSCO;SAN JERONIMO;PATA PATA;;SI;;;-13.54471;-71.86641
1554;801040010;CUSCO;CUSCO;SAN JERONIMO;VILLA RINCONADA;;;SI;;-13.55232;-71.90283
1555;801040011;CUSCO;CUSCO;SAN JERONIMO;TEJAS LADRILLOS (LADRILLERA);;;SI;;-13.5544;-71.89831
1556;801040018;CUSCO;CUSCO;SAN JERONIMO;PILLAO MATAO;;;SI;;-13.55681;-71.89649
1557;801040031;CUSCO;CUSCO;SAN JERONIMO;ALTIVA CANAS;;;SI;;-13.54868;-71.90662
1558;801040033;CUSCO;CUSCO;SAN JERONIMO;PATRON SAN JERONIMO;;;SI;;-13.55073;-71.8887
1559;801040052;CUSCO;CUSCO;SAN JERONIMO;PATAPATA ANDEANDEN;;SI;;;-13.54458;-71.86793
1560;801050001;CUSCO;CUSCO;SAN SEBASTIAN;SAN SEBASTIAN;;;SI;;-13.53007992;-71.93743203
1561;803040014;CUSCO;ANTA;CHINCHAYPUJIO;HATUNHUAYLLA;;SI;;;-13.56322;-72.20795
1562;803040053;CUSCO;ANTA;CHINCHAYPUJIO;SAYLLAPAMPA;;;SI;;-13.615865;-72.23536833
1563;803040058;CUSCO;ANTA;CHINCHAYPUJIO;RACRARUMI;;;SI;;-13.617255;-72.238595
1564;803040063;CUSCO;ANTA;CHINCHAYPUJIO;CHACAPAMPA;;;SI;;-13.62057;-72.230955
1565;803040077;CUSCO;ANTA;CHINCHAYPUJIO;YALEAPATA;;;SI;;-13.63588;-72.22392
1566;804010158;CUSCO;CALCA;CALCA;URCO ALTO;;SI;;;-13.32338;-71.98636
1567;804020001;CUSCO;CALCA;COYA;COYA;;SI;;;-13.3865996;-71.89891787
1568;804020016;CUSCO;CALCA;COYA;TUCSANPATA;;SI;;;-13.3992;-71.89664
1569;804020027;CUSCO;CALCA;COYA;PAULLO GRANDE;;SI;;;-13.42029;-71.88024
1570;804030001;CUSCO;CALCA;LAMAY;LAMAY;;;SI;;-13.36432974;-71.92071862
1571;806010032;CUSCO;CANCHIS;SICUANI;CONDORPATA PUCHURI;;;SI;;-14.21967;-71.28011
1572;806010036;CUSCO;CANCHIS;SICUANI;HANCCOCCALA;;;SI;;-14.2292;-71.27236
1573;806060012;CUSCO;CANCHIS;SAN PABLO;INCA PARTE;;;SI;;-14.21066;-71.32255
1574;806060039;CUSCO;CANCHIS;SAN PABLO;CHARA CCASAPAMPA;;SI;;;-14.21948;-71.32238
1575;806070011;CUSCO;CANCHIS;SAN PEDRO;JUNUCUCHO;;;SI;;-14.19483;-71.31895
1576;801050006;CUSCO;CUSCO;SAN SEBASTIAN;PUMAMARCA;;;SI;;-13.50452;-71.9214
1577;808010021;CUSCO;ESPINAR;ESPINAR;CHAUPICHULLO;;;SI;;-14.80191;-71.40045
1578;808010031;CUSCO;ESPINAR;ESPINAR;TOCSAMAYO;;;SI;;-14.7934;-71.42555
1579;808010032;CUSCO;ESPINAR;ESPINAR;PRO VIVIENDA PUCARA;;;SI;;-14.79225;-71.39789
1580;808010034;CUSCO;ESPINAR;ESPINAR;CHILLETERA;;SI;;;-14.81028;-71.39764
1581;808010038;CUSCO;ESPINAR;ESPINAR;PICHACCANE;;SI;;;-14.80518;-71.40356
1582;808010040;CUSCO;ESPINAR;ESPINAR;CCAÑIPIA;;;SI;;-14.79214302;-71.39630694
1583;808010043;CUSCO;ESPINAR;ESPINAR;PARCCO;;;SI;;-14.81418;-71.41464
1584;808010045;CUSCO;ESPINAR;ESPINAR;PARAYCAPATA (PARACAYOCCO);SI;;;;-14.80884956;-71.43277128
1585;808010049;CUSCO;ESPINAR;ESPINAR;PURURO;;;SI;;-14.81713;-71.41452
1586;801050023;CUSCO;CUSCO;SAN SEBASTIAN;LOS HUERTOS;;SI;;;-13.521392;-71.93208
1587;801050024;CUSCO;CUSCO;SAN SEBASTIAN;CHECARAYOCPAMPA;;SI;;;-13.522038;-71.92708
1588;801060001;CUSCO;CUSCO;SANTIAGO;SANTIAGO;;;SI;;-13.52531399;-71.98331565
1589;801070001;CUSCO;CUSCO;SAYLLA;SAYLLA;;SI;;;-13.56972116;-71.82751364
1590;801070004;CUSCO;CUSCO;SAYLLA;ANGOSTURA ANTIGUA;;SI;;;-13.55993;-71.84627
1591;801070007;CUSCO;CUSCO;SAYLLA;ESTACION DE SAYLLA;;;SI;;-13.57191;-71.82177
1592;801070008;CUSCO;CUSCO;SAYLLA;CCANOPATA;;SI;;;-13.57718;-71.82191
1593;801070009;CUSCO;CUSCO;SAYLLA;CHINGO GRANDE;;;SI;;-13.57656;-71.81819
1594;801070010;CUSCO;CUSCO;SAYLLA;ANGOSTURA;;;SI;;-13.55324;-71.85812
1595;801070011;CUSCO;CUSCO;SAYLLA;TAMBILLO;;SI;;;-13.55438;-71.86157
1596;801070016;CUSCO;CUSCO;SAYLLA;SANTA BARBARA;;;SI;;-13.57306;-71.8242
1597;801070017;CUSCO;CUSCO;SAYLLA;OROPESA HUALLPATA;;;SI;;-13.57476;-71.82093
1598;801070018;CUSCO;CUSCO;SAYLLA;SURAMA HUAYCO;;SI;;;-13.55255;-71.85189
1599;801070020;CUSCO;CUSCO;SAYLLA;LA ENCANTADA;;;SI;;-13.55687;-71.85543
1600;801070022;CUSCO;CUSCO;SAYLLA;CONDEBAMBA BAJA;;SI;;;-13.56616;-71.83272
1601;801070023;CUSCO;CUSCO;SAYLLA;SONDOR HUAYCCO;;SI;;;-13.56145;-71.84058
1602;801070024;CUSCO;CUSCO;SAYLLA;MANANTIALES;;;SI;;-13.5753;-71.81518
1603;801070026;CUSCO;CUSCO;SAYLLA;LOS GIRASOLES;;SI;;;-13.55581;-71.85673
1604;801080001;CUSCO;CUSCO;WANCHAQ;WANCHAQ;;;SI;;-13.52275031;-71.96641745
1605;802010001;CUSCO;ACOMAYO;ACOMAYO;ACOMAYO;;;SI;;-13.91918561;-71.683396
1606;811010177;CUSCO;PAUCARTAMBO;PAUCARTAMBO;VERSALLES;;;SI;;-13.31598;-71.5948
1607;811010178;CUSCO;PAUCARTAMBO;PAUCARTAMBO;HUAYRACCASA;;;SI;;-13.32649;-71.58736
1608;811010180;CUSCO;PAUCARTAMBO;PAUCARTAMBO;YERBABUENAYOC;;;SI;;-13.31304;-71.59328
1609;811020023;CUSCO;PAUCARTAMBO;CAICAY;CHIULLAPATA;SI;;;;-13.542245;-71.67276833
1610;812070001;CUSCO;QUISPICANCHI;HUARO;HUARO;;SI;;;-13.69010198;-71.64068849
1611;812070002;CUSCO;QUISPICANCHI;HUARO;PUCUTO;;SI;;;-13.68113;-71.65648
1612;812070005;CUSCO;QUISPICANCHI;HUARO;VIRGEN PURIFICADA;;SI;;;-13.68529;-71.63587
1613;808010260;CUSCO;ESPINAR;ESPINAR;PARACCAY;;SI;;;-14.81281;-71.43989
1614;808010271;CUSCO;ESPINAR;ESPINAR;PUENTE AMISTAD;;SI;;;-14.8079;-71.40112
1615;808010273;CUSCO;ESPINAR;ESPINAR;COLLAPANTERA;;;SI;;-14.80868;-71.42701
1616;811050007;CUSCO;PAUCARTAMBO;HUANCARANI;NUEVA ESPERANZA;;SI;;;-13.48833;-71.66513
1617;811050011;CUSCO;PAUCARTAMBO;HUANCARANI;QUIÑER;;;SI;;-13.49729;-71.65462
1618;811050013;CUSCO;PAUCARTAMBO;HUANCARANI;URAY AYLLU;;SI;;;-13.51283;-71.67343
1619;811050019;CUSCO;PAUCARTAMBO;HUANCARANI;HUAYLLABAMBA;;SI;;;-13.51673;-71.68493
1620;811050024;CUSCO;PAUCARTAMBO;HUANCARANI;TOTORAPATA;;;SI;;-13.49465;-71.6596
1621;811050028;CUSCO;PAUCARTAMBO;HUANCARANI;MIRAFLORES;;;SI;;-13.50524;-71.6593
1622;811050044;CUSCO;PAUCARTAMBO;HUANCARANI;URAY AYLLU CCOLPACANCHA;;SI;;;-13.51177;-71.66743
1623;809040001;CUSCO;LA CONVENCION;MARANURA;MARANURA;;;SI;;-12.96357;-72.66428
1624;809040005;CUSCO;LA CONVENCION;MARANURA;MARIACA;;;SI;;-12.87606;-72.68503
1625;809020212;CUSCO;LA CONVENCION;ECHARATE;PAMPA ECHARATI;;;SI;;-12.76471;-72.58228
1626;810030021;CUSCO;PARURO;CCAPI;MISKA;;;SI;;-13.87248;-72.06897
1627;812050061;CUSCO;QUISPICANCHI;CCATCA;ASORA;;SI;;;-13.62492;-71.537605
1628;812050063;CUSCO;QUISPICANCHI;CCATCA;YANAMACHAYOC;;SI;;;-13.62073;-71.55372
1629;812050076;CUSCO;QUISPICANCHI;CCATCA;URPIA;;SI;;;-13.64665;-71.53013
1630;812050117;CUSCO;QUISPICANCHI;CCATCA;HUACCOCHONI;;;SI;;-13.63023;-71.57006
1631;808040175;CUSCO;ESPINAR;OCORURO;SAN CRISTOBAL;;SI;;;-14.93167;-71.21747
1632;809010001;CUSCO;LA CONVENCION;SANTA ANA;QUILLABAMBA;;;SI;;-12.8633383;-72.69292955
1633;812010001;CUSCO;QUISPICANCHI;URCOS;URCOS;;;SI;;-13.6878839;-71.62561159
1634;812010011;CUSCO;QUISPICANCHI;URCOS;PAROJAN;;SI;;;-13.655349;-71.61878
1635;812010014;CUSCO;QUISPICANCHI;URCOS;CJUNUCUNCA;;SI;;;-13.66647;-71.61164
1636;812010015;CUSCO;QUISPICANCHI;URCOS;ACCORA;;SI;;;-13.68422;-71.60401
1637;812010017;CUSCO;QUISPICANCHI;URCOS;KALLMI;;SI;;;-13.69937;-71.60171
1638;812010018;CUSCO;QUISPICANCHI;URCOS;URCOSPAMPA;;SI;;;-13.69958;-71.59596
1639;812010039;CUSCO;QUISPICANCHI;URCOS;QUELLMOPATA;;SI;;;-13.65072;-71.61807
1640;812010041;CUSCO;QUISPICANCHI;URCOS;CHECCOLLO;;SI;;;-13.65466;-71.61651
1641;812010044;CUSCO;QUISPICANCHI;URCOS;CALICANTO;;;SI;;-13.68519;-71.61622
1642;808050021;CUSCO;ESPINAR;PALLPATA;MUNAYPATA;;SI;;;-14.91422;-71.21615
1643;809010030;CUSCO;LA CONVENCION;SANTA ANA;ARANJUEZ;;SI;;;-12.8433;-72.70366
1644;809010032;CUSCO;LA CONVENCION;SANTA ANA;PINTOBAMBA GRANDE;;;SI;;-12.84528;-72.70825
1645;809010033;CUSCO;LA CONVENCION;SANTA ANA;AMERICA;;SI;;;-12.8476;-72.69614
1646;809010039;CUSCO;LA CONVENCION;SANTA ANA;SAMBARAY CHICO;;;SI;;-12.84647;-72.70483
1647;809010040;CUSCO;LA CONVENCION;SANTA ANA;PAVAYOC ALTO;;;SI;;-12.86041;-72.68769
1648;809010044;CUSCO;LA CONVENCION;SANTA ANA;MACAMANGO;;SI;;;-12.85966;-72.70443
1649;809010054;CUSCO;LA CONVENCION;SANTA ANA;JARAMILLUYOC;;;SI;;-12.88194;-72.69205
1650;809010055;CUSCO;LA CONVENCION;SANTA ANA;URPIPATA;;SI;;;-12.88394;-72.69088
1651;809090041;CUSCO;LA CONVENCION;VILCABAMBA;SOCOSPATA;;SI;;;-13.01485;-72.67832
1652;809040027;CUSCO;LA CONVENCION;MARANURA;MARANURA ALTA;;SI;;;-12.95301667;-72.66247833
1653;809040029;CUSCO;LA CONVENCION;MARANURA;COCABAMBILLA;;;SI;;-12.95631;-72.66755
1654;809040032;CUSCO;LA CONVENCION;MARANURA;CANACCHACA;;;SI;;-12.96059;-72.66078
1655;809040042;CUSCO;LA CONVENCION;MARANURA;LUYCHO ALTO;;;SI;;-12.98487;-72.64099
1656;811010001;CUSCO;PAUCARTAMBO;PAUCARTAMBO;PAUCARTAMBO;;;SI;;-13.31751022;-71.59601304
1657;809020224;CUSCO;LA CONVENCION;ECHARATE;MESAPATA;;SI;;;-12.76096;-72.57967
1658;811010022;CUSCO;PAUCARTAMBO;PAUCARTAMBO;KESHUAHUAYCCO;;SI;;;-13.32119;-71.60328
1659;811010023;CUSCO;PAUCARTAMBO;PAUCARTAMBO;CALLIPATA;;SI;;;-13.31944;-71.58544
1660;811010027;CUSCO;PAUCARTAMBO;PAUCARTAMBO;HUALLAMOCCO;;;SI;;-13.31985;-71.58655
1661;811010029;CUSCO;PAUCARTAMBO;PAUCARTAMBO;ALFAR;;;SI;;-13.32893;-71.58322
1662;811010034;CUSCO;PAUCARTAMBO;PAUCARTAMBO;TAHUANTINSUYO;;SI;;;-13.34359;-71.61003
1663;808010055;CUSCO;ESPINAR;ESPINAR;LAMBRAYANI PAMPA (LABRAYANE);SI;;;;-14.8346539;-71.41507446
1664;808010057;CUSCO;ESPINAR;ESPINAR;PHINAYAPAMPA;;SI;;;-14.82983;-71.43084
1665;808010117;CUSCO;ESPINAR;ESPINAR;SAÑUNI;;;SI;;-14.91905;-71.2429
1666;808010119;CUSCO;ESPINAR;ESPINAR;SUPO;;;SI;;-14.92214;-71.28422
1667;808010120;CUSCO;ESPINAR;ESPINAR;HUANO HUANO;;SI;;;-14.92339;-71.23308
1668;812010064;CUSCO;QUISPICANCHI;URCOS;ORCCONÑAN;;SI;;;-13.6938;-71.59852
1669;812010065;CUSCO;QUISPICANCHI;URCOS;WARMISAYA;;SI;;;-13.67152;-71.60749
1670;812020007;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;QQUECHASNIYOC;;SI;;;-13.65934;-71.68512
1671;812020008;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;QUINSAPUQUIO;;SI;;;-13.65983;-71.68635
1672;812020009;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;QUEROHUASI;;SI;;;-13.65927;-71.66814
1673;812020010;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;SECSENCALLA - QUEROHUASI;;SI;;;-13.66372038;-71.66415265
1674;812020011;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;YAHUASI;;SI;;;-13.666163;-71.65811
1675;812020012;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;CARPA;;;SI;;-13.66838;-71.66461
1676;812020013;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;CCACHABAMBA;;;SI;;-13.66832;-71.67033
1677;812020014;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;RINCONADA (HUAYLLACHAYOC);;SI;;;-13.674837;-71.68683
1678;812020015;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;MANCCOERA;;SI;;;-13.67793833;-71.68365833
1679;812020018;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;ROSASPATA;;SI;;;-13.68025;-71.68738
1680;812020019;CUSCO;QUISPICANCHI;ANDAHUAYLILLAS;PULLAYHUAYLLA;;SI;;;-13.68115;-71.69073
1681;808050065;CUSCO;ESPINAR;PALLPATA;SONCCOS;;SI;;;-14.903988;-71.20756
1682;808050068;CUSCO;ESPINAR;PALLPATA;HUAYLLAJE;;SI;;;-14.90621;-71.22436
1683;809080001;CUSCO;LA CONVENCION;SANTA TERESA;SANTA TERESA;;SI;;;-13.13021562;-72.59430617
1684;809010088;CUSCO;LA CONVENCION;SANTA ANA;IPOLITAYOC;;;SI;;-12.86172;-72.68858
1685;809020001;CUSCO;LA CONVENCION;ECHARATE;ECHARATE;;;SI;;-12.76770464;-72.57847801
1686;808010153;CUSCO;ESPINAR;ESPINAR;CONDOR SAYANA;;;SI;;-14.91078;-71.29497
1687;811040026;CUSCO;PAUCARTAMBO;COLQUEPATA;COTATOCLLA;;;SI;;-13.40175;-71.65283
1688;811040027;CUSCO;PAUCARTAMBO;COLQUEPATA;MIKA;;;SI;;-13.41231;-71.65117
1689;810010001;CUSCO;PARURO;PARURO;PARURO;;;SI;;-13.76138966;-71.84750412
1690;812050052;CUSCO;QUISPICANCHI;CCATCA;PIÑIPUJIO;;SI;;;-13.61109333;-71.55491667
1691;812050054;CUSCO;QUISPICANCHI;CCATCA;CHILCAPUGIO;;SI;;;-13.61409;-71.56287
1692;808010186;CUSCO;ESPINAR;ESPINAR;CCANAPAMPA;;;SI;;-14.91889281;-71.24286044
1693;808010229;CUSCO;ESPINAR;ESPINAR;CERRO PUCARA;;;SI;;-14.78861;-71.39696
1694;808010233;CUSCO;ESPINAR;ESPINAR;HUINICUNCA;;;SI;;-14.8767;-71.33209
1695;811040028;CUSCO;PAUCARTAMBO;COLQUEPATA;KUCYA;;;SI;;-13.41142;-71.6295
1696;811040032;CUSCO;PAUCARTAMBO;COLQUEPATA;VIZCOCHONI;;SI;;;-13.42025;-71.65334
1697;811040034;CUSCO;PAUCARTAMBO;COLQUEPATA;SAYLLAPATA;;SI;;;-13.42603;-71.65518
1698;811040035;CUSCO;PAUCARTAMBO;COLQUEPATA;PACPAPATA;;SI;;;-13.43393;-71.6516
1699;811040036;CUSCO;PAUCARTAMBO;COLQUEPATA;SAN JUAN DE BUENAVISTA;;SI;;;-13.43846;-71.64504
1700;811040063;CUSCO;PAUCARTAMBO;COLQUEPATA;CHALLAHUAYCO;;SI;;;-13.40056;-71.63031
1701;811040091;CUSCO;PAUCARTAMBO;COLQUEPATA;CRUZ PAMPA;;SI;;;-13.41011;-71.62428
1702;811050001;CUSCO;PAUCARTAMBO;HUANCARANI;HUANCARANI;;SI;;;-13.50403901;-71.65285357
1703;812070034;CUSCO;QUISPICANCHI;HUARO;PHUMPO;;;SI;;-13.6888;-71.64507
1704;812070037;CUSCO;QUISPICANCHI;HUARO;BELLA VISTA;;SI;;;-13.68503;-71.63348
1705;808050269;CUSCO;ESPINAR;PALLPATA;VIZCACHANI;;SI;;;-14.8954;-71.23721
1706;808050272;CUSCO;ESPINAR;PALLPATA;TORREMAYO;;SI;;;-14.90159;-71.22875
1707;808050273;CUSCO;ESPINAR;PALLPATA;ARCOSANI;;SI;;;-14.91288;-71.21642
1708;808050274;CUSCO;ESPINAR;PALLPATA;CHUCLLANI;;SI;;;-14.89775;-71.23166
1709;808050275;CUSCO;ESPINAR;PALLPATA;PUENTE MAYO TINCUY;SI;;;;-14.91217167;-71.23256
1710;808050276;CUSCO;ESPINAR;PALLPATA;PUCARAPATA;;SI;;;-14.90758;-71.21937
1711;809080044;CUSCO;LA CONVENCION;SANTA TERESA;ICMAPAMPA;;;SI;;-13.10625;-72.60444
1712;809080055;CUSCO;LA CONVENCION;SANTA TERESA;SAUCIPAMPA;;;SI;;-13.13847;-72.58671
1713;901010001;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;;;SI;;-12.78717333;-74.97313191
1714;901010011;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;SACCRACANCHA;;SI;;;-12.76568;-74.92608
1715;901010016;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;CALLQUI CHICO;;;SI;;-12.77495;-75.00739
1716;901010018;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;LIRIO CUCHO;;;SI;;-12.78669;-74.92986
1717;901010022;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;VILLA LA LIBERTAD;;;SI;;-12.80150006;-74.92930668
1718;901010025;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;PAMPACHACRA;;;SI;;-12.80665;-74.92012
1719;901010031;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;TOTORAPAMPA;;;SI;;-12.81061;-74.94004
1720;901010032;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;SANTA CRUZ;;;SI;;-12.80167566;-74.93660441
1721;901010033;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;IMPERIAL;;;SI;;-12.8106;-74.917
1722;901030141;HUANCAVELICA;HUANCAVELICA;ACORIA;CENTRO ALTO;;;SI;;-12.64597366;-74.91391983
1723;901030142;HUANCAVELICA;HUANCAVELICA;ACORIA;UNION VISTA ALEGRE LAIMINA;;;SI;;-12.65028;-74.89144
1724;902080006;HUANCAVELICA;ACOBAMBA;ROSARIO;RAYUSCCA;;;SI;;-12.72905;-74.63724
1725;902080018;HUANCAVELICA;ACOBAMBA;ROSARIO;LIBERTADORES (MULA YUPANA PAMPA);;;SI;;-12.73303;-74.64324
1726;902080019;HUANCAVELICA;ACOBAMBA;ROSARIO;CALZADA;;SI;;;-12.73716;-74.64308
1727;901140005;HUANCAVELICA;HUANCAVELICA;PALCA;CCECHCCAS;;;SI;;-12.64471;-74.96657
1728;901140012;HUANCAVELICA;HUANCAVELICA;PALCA;VISCAPATA;;;SI;;-12.66111;-74.94712
1729;901140013;HUANCAVELICA;HUANCAVELICA;PALCA;CHILLHUAPAMPA;;;SI;;-12.66483;-74.95121
1730;901140014;HUANCAVELICA;HUANCAVELICA;PALCA;UNION;;SI;;;-12.672598;-74.960065
1731;901140015;HUANCAVELICA;HUANCAVELICA;PALCA;TAMBO PAMPA;;;SI;;-12.67117;-74.96048
1732;901140016;HUANCAVELICA;HUANCAVELICA;PALCA;PUTACCA PUCRO;;;SI;;-12.66981;-74.9471
1733;901140017;HUANCAVELICA;HUANCAVELICA;PALCA;BUENOS AIRES;;;SI;;-12.67275;-74.97642
1734;901140018;HUANCAVELICA;HUANCAVELICA;PALCA;HORNOBAMBA;;;SI;;-12.67447;-74.96256
1735;901140019;HUANCAVELICA;HUANCAVELICA;PALCA;MARCAYLLA;;;SI;;-12.67591;-74.94859
1736;901140022;HUANCAVELICA;HUANCAVELICA;PALCA;INDEPENDIENTE;;SI;;;-12.68336;-74.9471
1737;901140036;HUANCAVELICA;HUANCAVELICA;PALCA;CHILLCAHUAYCCO;;;SI;;-12.65887;-74.94481
1738;901140044;HUANCAVELICA;HUANCAVELICA;PALCA;SORACUCHO;;;SI;;-12.67697;-74.95112
1739;901140049;HUANCAVELICA;HUANCAVELICA;PALCA;CHACCO PATA;;;SI;;-12.66639;-74.97578
1740;901190002;HUANCAVELICA;HUANCAVELICA;HUANDO;TAPANA;;SI;;;-12.52116167;-74.969025
1741;901190005;HUANCAVELICA;HUANCAVELICA;HUANDO;CHACCOMA;;SI;;;-12.53455;-74.95726
1742;901190006;HUANCAVELICA;HUANCAVELICA;HUANDO;HUANCAPAMPA;;;SI;;-12.53727;-74.95672
1743;902020040;HUANCAVELICA;ACOBAMBA;ANDABAMBA;BARRIO NUEVO;;SI;;;-12.7142;-74.64231
1744;902030002;HUANCAVELICA;ACOBAMBA;ANTA;TAMBRAICO;;;SI;;-12.78518;-74.69401
1745;902030009;HUANCAVELICA;ACOBAMBA;ANTA;CASACANCHA;;;SI;;-12.78704;-74.63191
1746;902030045;HUANCAVELICA;ACOBAMBA;ANTA;ÑAHUINPUQUIO;;;SI;;-12.77886;-74.69861
1747;902030046;HUANCAVELICA;ACOBAMBA;ANTA;MOLINOYOCC;;;SI;;-12.78808;-74.6962
1748;902030050;HUANCAVELICA;ACOBAMBA;ANTA;EMILLAY;;;SI;;-12.79293;-74.69014
1749;902080020;HUANCAVELICA;ACOBAMBA;ROSARIO;CIELO PUNCU;;;SI;;-12.73669;-74.632
1750;902080021;HUANCAVELICA;ACOBAMBA;ROSARIO;JATUN CUCHO;;;SI;;-12.74273;-74.63161
1751;902080022;HUANCAVELICA;ACOBAMBA;ROSARIO;YURACCACCA;;;SI;;-12.74344;-74.63103
1752;902080023;HUANCAVELICA;ACOBAMBA;ROSARIO;PUNCHAYPAMPA;;;SI;;-12.73141967;-74.61964872
1753;902080033;HUANCAVELICA;ACOBAMBA;ROSARIO;LLIPLLINA;;;SI;;-12.74438;-74.60581
1754;902080034;HUANCAVELICA;ACOBAMBA;ROSARIO;MARCHANAPATA;;;SI;;-12.74623;-74.61032
1755;902080037;HUANCAVELICA;ACOBAMBA;ROSARIO;TOTORA;;SI;;;-12.75095;-74.65069
1756;902080039;HUANCAVELICA;ACOBAMBA;ROSARIO;TOROHUAÑUSCA;;SI;;;-12.7419;-74.63644
1757;902080041;HUANCAVELICA;ACOBAMBA;ROSARIO;PUCA CRUZ;;;SI;;-12.74535;-74.63141
1758;902080044;HUANCAVELICA;ACOBAMBA;ROSARIO;PIPINUYOCC;;;SI;;-12.74391;-74.60166
