nro;ubigeo;region;provincia;distrito;centro_poblado;2g;3g;4g;5g;lat;lon
50;103070006;AMAZONAS;BONGARA;JAZAN;NUEVA ESPERANZA;;;SI;;-5.94049;-77.97742
51;103070007;AMAZONAS;BONGARA;JAZAN;CHAQUIL;;;SI;;-5.9347382;-77.97297
52;103070008;AMAZONAS;BONGARA;JAZAN;SAN JUAN DE TUNI;;;SI;;-5.93691;-77.97191
53;103070009;AMAZONAS;BONGARA;JAZAN;SUYUBAMBA;;SI;;;-5.9173;-77.96158
54;103070010;AMAZONAS;BONGARA;JAZAN;EL EDEN;;;SI;;-5.9446;-77.97271
55;103070016;AMAZONAS;BONGARA;JAZAN;CHOSGON;;SI;;;-5.930331732;-78.00856322
56;103070031;AMAZONAS;BONGARA;JAZAN;GOSHCATA;;SI;;;-5.95766;-77.96802
57;103070052;AMAZONAS;BONGARA;JAZAN;PEDRO RUIZ;;;SI;;-5.94617;-77.97914
58;103070053;AMAZONAS;BONGARA;JAZAN;COSI;;;SI;;-5.94298;-77.96893
59;103070054;AMAZONAS;BONGARA;JAZAN;CANCHARHUICO;;;SI;;-5.923787883;-77.96920923
60;103090006;AMAZONAS;BONGARA;SAN CARLOS;COMBUCA (COMBOCA);;SI;;;-5.96307;-77.95467
61;103090007;AMAZONAS;BONGARA;SAN CARLOS;QUILIMITO;;SI;;;-5.9659;-77.95662
62;103090008;AMAZONAS;BONGARA;SAN CARLOS;TAMBILLO;;SI;;;-5.96793;-77.95548
63;103090009;AMAZONAS;BONGARA;SAN CARLOS;PALAC;;SI;;;-5.97423;-77.9544
64;103090011;AMAZONAS;BONGARA;SAN CARLOS;COCATA;;SI;;;-5.97548;-77.94718
65;103090012;AMAZONAS;BONGARA;SAN CARLOS;CURÑURCO;;SI;;;-5.98194;-77.95307
66;103090015;AMAZONAS;BONGARA;SAN CARLOS;NUEVA COLOMBIA;;SI;;;-5.95415;-77.95853
67;105010011;AMAZONAS;LUYA;LAMUD;CUELON;;SI;;;-6.12383;-77.95778
